BH;20200328                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
CUSTOMER NUMBER;CUSTOMER NAME;APPROVED LIMIT;CIF BIRTHDATE;MOBILE NUMBER;LICENSE NUMBER;DAY OF CLOSING;CONTRACT NUMBER;CARD TYPE;EXPIRY DATE;CARD NO;EMAIL ADDRESS;RE-ISSUE FLAG;DATE OF OPENING CIF;CARD BLOCK CODE;ACTIVATION DATE;ACCOUNT BLOCK CODE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
0000000000000877;CUSTOMER HH                   ;00000000020000000;01011955;09012345678       ;            ;00000000;0020010000001334;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;14012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000885;CUSTOMER Z                    ;00000000020000000;01011970;0934468307        ;4444        ;00000000;0020010000000187;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;SUZUKI@YAHOO.CO.JP                                ;1;13042015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000000968;JACCS                         ;00000000020000000;01011995;09012345678       ;            ;00000000;0028000000000255;800;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;14012015;                         ;                                                                                                                    ;1                                                                                                                                                                                                                                                                                        
0000000000000992;CUSTOMER I                    ;00000000020000000;22041990;090000000000000028;            ;00000000;0020020000000103;002;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;22042015;                         ;                                                                                                                    ;1                                                                                                                                                                                                                                                                                        
0000000000001008;KAZUYUKI YAMANAKA             ;00000000020000000;20091974;090000000000970131;            ;00000000;0020010000000195;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;13052015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000001024;SIBS NAME 1                   ;00000000020000000;03011984;123456789         ;025625401   ;00000000;0020010000000229;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;19012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000001032;SIBS NAME 2                   ;00000000030000000;05011982;123456789         ;0172759071  ;00000000;0020010000000237;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;19012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000001040;SIBS NAME 3                   ;00000000150000000;20011999;987654321         ;022867114   ;00000000;0020010000000245;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;19012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000001081;TOSHIHIRO NAGARA              ;00000000020000000;28011976;09011112222       ;1234567     ;00000000;0020010000000252;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;NAGARA@JACCS.COM.VN                               ;1;23062015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000001123;NGUYEN LE HOANG               ;00000000020000000;28011976;1234              ;1234567     ;00000000;0020010000000278;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;01012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000001123;NGUYEN LE HOANG               ;00000000020000000;28011976;1234              ;1234567     ;00000000;0020010000000518;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;01012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000001180;TATSUJI OKURA                 ;00000000020000000;20011973;0934182264        ;TK2705568   ;00000000;0020010000000302;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;OKURA@JACCS.COM.VN                                ;1;23062015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000001230;NGUYEN VAN A                  ;00000000020000000;30101989;0987654321        ;311992768   ;00000000;0020010000000310;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;22012015;                         ;                                                                                                                    ;1                                                                                                                                                                                                                                                                                        
0000000000001289;JOHNNY OKURA                  ;00000000020000000;20011973;0934182264        ;TK2705568   ;00000000;0020030000000110;003;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;OKURA@JACCS.COM.VN                                ;1;23062015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000001289;JOHNNY OKURA                  ;00000000020000000;20011973;0934182264        ;TK2705568   ;00000000;0028000000000263;800;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;OKURA@JACCS.COM.VN                                ;1;23062015;                         ;                                                                                                                    ;1                                                                                                                                                                                                                                                                                        
0000000000001305;NGUYEN THI PHUONG THAO        ;00000000100000000;29081988;0963417077        ;280883460   ;00000000;0020010000000328;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;22012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000001321;NGUYEN NGOC TRAM              ;00000000010000000;10091984;0907959584        ;225266666   ;00000000;0020010000000344;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;22012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000001339;NGUYEN DUONG                  ;00000000030000000;01021990;0907959595        ;023456788   ;00000000;0020010000000351;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;22012015;                         ;                                                                                                                    ;1                                                                                                                                                                                                                                                                                        
0000000000001461;NGUYEN NGOC TRAN              ;00000000020000000;30012015;0938344460        ;023456780   ;00000000;0020010000000369;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;23012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000001479;NGUYEN THI VAN                ;00000000010000000;04071992;0975582882        ;151877567   ;00000000;0020010000000377;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;23012015;                         ;                                                                                                                    ;1                                                                                                                                                                                                                                                                                        
0000000000001479;NGUYEN THI VAN                ;00000000010000000;04071992;0975582882        ;151877567   ;00000000;0020010000000542;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;23012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000001487;TANG THANH HA                 ;00000000015000000;05051987;0912345678        ;0234578     ;00000000;0020010000000385;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;23012015;                         ;                                                                                                                    ;1                                                                                                                                                                                                                                                                                        
0000000000001495;NGUYEN TAN DUNG               ;00000000025000000;01021988;0909090900        ;987654321   ;00000000;0020010000000393;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;23012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000001537;HUYNH DUC TRONG               ;00000000010000000;28011983;0906651402        ;271574830   ;00000000;0020010000000401;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;HUYNH_TRONG@JACCS.COM.VN                          ;1;23012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000001537;HUYNH DUC TRONG               ;00000000010000000;28011983;0906651402        ;271574830   ;00000000;0020030000000441;003;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;HUYNH_TRONG@JACCS.COM.VN                          ;1;23012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000001545;NGUYEN NGOC TRAM              ;00000000010000000;10091984;0907070707        ;023456789   ;00000000;0020010000000419;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;ROSATRAMS@YAHOO.COM                               ;1;23012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000001552;KAZUHIRO INOUE                ;00000000015000000;29101974;0779948308        ;TH1111192   ;00000000;0020030000000086;003;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;K_INOUE@JACCS.COM.VN                              ;1;23012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000001750;VAN CAO                       ;00000000010000000;07061973;0909777888        ;280880990   ;00000000;0020020000000111;002;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;29012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000001792;NGUYEN XUAN THU               ;00000000015000000;05061979;0983084679        ;023611092   ;00000000;0020020000000178;002;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;SPRINGLETTER@GMAIL.COM                            ;1;30012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000001818;JOHNNY OKURA31                ;00000000020000000;20011973;0934182264        ;TK2705568   ;00000000;0020030000000128;003;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;OKURA@JACCS.CO.VN                                 ;1;30012015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000001826;HUYNH DUC                     ;00000000010000000;01011979;0963417077        ;123456654   ;00000000;0028030000000096;803;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;ROSATRAM@GMAIL.COM                                ;1;30012015;                         ;                                                                                                                    ;1                                                                                                                                                                                                                                                                                        
0000000000001990;HOANG THUY LINH               ;00000000047000000;31051988;0976093979        ;022022022   ;00000000;0020030000000136;003;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;THUYLINHSUPERSTAR@VBIZ.COM.VN                     ;1;04022015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000002006;FERN TEST                     ;00000000030000000;01021971;0897789000        ;111111111111;00000000;0020010000000484;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;04022015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000002006;FERN TEST                     ;00000000030000000;01021971;0897789000        ;111111111111;00000000;0020010000000617;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;04022015;                         ;                                                                                                                    ;1                                                                                                                                                                                                                                                                                        
0000000000002030;ERIKO INOUE                   ;00000000009000000;26051979;0708502525        ;TK7083260   ;00000000;0020030000000227;003;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;05022015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000002055;HUYNH DUC TRONG               ;00000000020000000;28011983;0906651402        ;271574830   ;00000000;0020020000000186;002;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;HUNH_TRONG@JACCS.COM.VN                           ;1;05022015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000002097;KAZUHIRO INOUE                ;00000000009000000;29101974;0779948308        ;TH1111192   ;00000000;0020030000000144;003;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;K_INOUE@JACCS.COM.VN                              ;1;05022015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000002147;KAUHIRO INOUE                 ;00000000009000000;04022015;0779948308        ;TK1111192   ;00000000;0020030000000169;003;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;K_INOUE@JACCS.COM.VN                              ;1;05022015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000002246;HUYNH DUC TRONG               ;00000000023000000;28011983;0906651402        ;271574830   ;00000000;0020010000000500;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;HUYNH_TRONG@JACCS.COM.VN                          ;1;09022015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000002246;HUYNH DUC TRONG               ;00000000023000000;28011983;0906651402        ;271574830   ;00000000;0020010000001078;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;HUYNH_TRONG@JACCS.COM.VN                          ;1;09022015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000002469;NGUYEN THI CAM HONG           ;00000000020000000;20021988;0987654321        ;12345678901 ;00000000;0020020000000210;002;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;10022015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000002477;NGUYEN THI CAM HONG           ;00000000010000000;30101989;0937693853        ;311992795   ;00000000;0020020000000236;002;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;N_CAMHONG3010@YAHOO.COM                           ;1;10022015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000002519;NGUYEN QUOC THAI              ;00000000200000000;28061989;0765770000        ;301317963   ;00000000;0020010000000559;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;10022015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000002519;NGUYEN QUOC THAI              ;00000000200000000;28061989;0765770000        ;301317963   ;00000000;0020020000000244;002;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;10022015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000002543;PHAN THANH LONG               ;00000000015000000;01012015;0355266282        ;352143917   ;00000000;0020030000000219;003;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;11022015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
